2024-08-28 00:11:23.992 +08:00 [INF] Main (StartingAsync) | Starting at: 8/28/2024 12:11:23 AM +08:00
2024-08-28 00:11:24.007 +08:00 [INF] Main (StartAsync) | Start at: 8/28/2024 12:11:24 AM +08:00
2024-08-28 00:11:24.009 +08:00 [INF] Main (StartedAsync) | Started at: 8/28/2024 12:11:24 AM +08:00
2024-08-28 00:11:24.009 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:24.009 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 00:11:24.009 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:24.766 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 00:11:24.766 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:24.766 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:11:24.766 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:24.832 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:11:34.847 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:34.847 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:11:34.847 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:34.854 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:11:44.864 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:44.864 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:11:44.864 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:44.870 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:11:54.878 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:54.878 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:11:54.878 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:11:54.884 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:12:04.894 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:04.894 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:12:04.894 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:04.900 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:12:14.909 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:14.909 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:12:14.909 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:14.915 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:12:24.921 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:24.921 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 00:12:24.921 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:24.923 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 00:12:24.923 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:24.923 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:12:24.923 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:24.927 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:12:34.932 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:34.932 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:12:34.932 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:34.937 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:12:44.952 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:44.952 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:12:44.952 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:44.956 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:12:54.969 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:54.969 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:12:54.969 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:12:54.974 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:13:04.979 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:04.979 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:13:04.979 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:04.984 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:13:14.984 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:14.984 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:13:14.984 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:14.988 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 00:13:24.995 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:24.995 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 00:13:24.995 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:24.997 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 00:13:24.997 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 00:13:24.997 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 00:13:24.997 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
