2024-08-31 23:22:43.719 +08:00 [INF] Main (StartingAsync) | Starting at: 8/31/2024 11:22:43 PM +08:00
2024-08-31 23:22:43.736 +08:00 [INF] Main (StartAsync) | Start at: 8/31/2024 11:22:43 PM +08:00
2024-08-31 23:22:43.738 +08:00 [INF] Main (StartedAsync) | Started at: 8/31/2024 11:22:43 PM +08:00
2024-08-31 23:22:43.738 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:22:43.738 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-31 23:22:43.738 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:22:44.797 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-31 23:22:44.797 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:22:44.797 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:22:44.797 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:22:44.869 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:22:54.872 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:22:54.872 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:22:54.872 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:22:54.878 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:23:04.888 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:23:04.888 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:23:04.888 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:23:04.892 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:23:14.897 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:23:14.897 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:23:14.897 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:23:14.900 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:23:24.901 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:23:24.901 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
